atc_code,atc_name
L01XU,Other antineoplastic agents (cont.)
A,alimentary tract and metabolism
A01,stomatological preparations
A01A,stomatological preparations
A01AA,caries prophylactic agents
A01AA01,sodium fluoride
A01AA02,sodium monofluorophosphate
A01AA03,olaflur
A01AA04,stannous fluoride
A01AA30,combinations
A01AA51,"sodium fluoride, combinations"
A01AB,antiinfectives and antiseptics for local oral treatment
A01AB02,hydrogen peroxide
A01AB03,chlorhexidine
A01AB04,amphotericin b
A01AB05,polynoxylin
A01AB06,domiphen
A01AB07,oxyquinoline
A01AB08,neomycin
A01AB09,miconazole
A01AB10,natamycin
A01AB11,various
A01AB12,hexetidine
A01AB13,tetracycline
A01AB14,benzoxonium chloride
A01AB15,tibezonium iodide
A01AB16,mepartricin
A01AB17,metronidazole
A01AB18,clotrimazole
A01AB19,sodium perborate
A01AB21,chlortetracycline
A01AB22,doxycycline
A01AB23,minocycline
A01AB24,octenidine
A01AB25,oxytetracycline
A01AB53,chlorhexidine and cetylpyridinium
A01AC,corticosteroids for local oral treatment
A01AC01,triamcinolone
A01AC02,dexamethasone
A01AC03,hydrocortisone
A01AC04,prednisolone
A01AC54,"prednisolone, combinations"
A01AD,other agents for local oral treatment
A01AD01,epinephrine
A01AD02,benzydamine
A01AD05,acetylsalicylic acid
A01AD06,adrenalone
A01AD07,amlexanox
A01AD08,becaplermin
A01AD11,various
A02,drugs for acid related disorders
A02A,antacids
A02AA,magnesium compounds
A02AA01,magnesium carbonate
A02AA02,magnesium oxide
A02AA03,magnesium peroxide
A02AA04,magnesium hydroxide
A02AA05,magnesium silicate
A02AA10,combinations
A02AB,aluminium compounds
A02AB01,aluminium hydroxide
A02AB02,algeldrate
A02AB03,aluminium phosphate
A02AB04,dihydroxialumini sodium carbonate
A02AB05,aluminium acetoacetate
A02AB06,aloglutamol
A02AB07,aluminium glycinate
A02AB10,combinations
A02AC,calcium compounds
A02AC01,calcium carbonate
A02AC02,calcium silicate
A02AC10,combinations
A02AD,"combinations and complexes of aluminium, calcium and magnesium compounds"
A02AD01,ordinary salt combinations
A02AD02,magaldrate
A02AD03,almagate
A02AD04,hydrotalcite
A02AD05,almasilate
A02AF,antacids with antiflatulents
A02AF01,magaldrate and antiflatulents
A02AF02,ordinary salt combinations and antiflatulents
A02AG,antacids with antispasmodics
A02AH,antacids with sodium bicarbonate
A02AX,"antacids, other combinations"
A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord)
A02BA,h2-receptor antagonists
A02BA01,cimetidine
A02BA01,cimetidine
A02BA02,ranitidine
A02BA02,ranitidine
A02BA03,famotidine
A02BA03,famotidine
A02BA04,nizatidine
A02BA04,nizatidine
A02BA05,niperotidine
A02BA06,roxatidine
A02BA07,ranitidine bismuth citrate
A02BA08,lafutidine
A02BA51,"cimetidine, combinations"
A02BA53,"famotidine, combinations"
A02BB,prostaglandins
A02BB01,misoprostol
A02BB02,enprostil
A02BC,proton pump inhibitors
A02BC01,omeprazole
A02BC01,omeprazole
A02BC02,pantoprazole
A02BC02,pantoprazole
A02BC03,lansoprazole
A02BC04,rabeprazole
A02BC05,esomeprazole
A02BC05,esomeprazole
A02BC06,dexlansoprazole
A02BC07,dexrabeprazole
A02BC08,vonoprazan
A02BC09,tegoprazan
A02BC51,"omeprazole, combinations"
A02BC53,"lansoprazole, combinations"
A02BC54,"rabeprazole, combinations"
A02BD,combinations for eradication of helicobacter pylori
A02BD01,"omeprazole, amoxicillin and metronidazole"
A02BD02,"lansoprazole, tetracycline and metronidazole"
A02BD03,"lansoprazole, amoxicillin and metronidazole"
A02BD04,"pantoprazole, amoxicillin and clarithromycin"
A02BD05,"omeprazole, amoxicillin and clarithromycin"
A02BD06,"esomeprazole, amoxicillin and clarithromycin"
A02BD07,"lansoprazole, amoxicillin and clarithromycin"
A02BD08,"bismuth subcitrate, tetracycline and metronidazole"
A02BD09,"lansoprazole, clarithromycin and tinidazole"
A02BD10,"lansoprazole, amoxicillin and levofloxacin"
A02BD11,"pantoprazole, amoxicillin, clarithromycin and metronidazole"
A02BD12,"rabeprazole, amoxicillin and clarithromycin"
A02BD13,"rabeprazole, amoxicillin and metronidazole"
A02BD14,"vonoprazan, amoxicillin and clarithromycin"
A02BD15,"vonoprazan, amoxicillin and metronidazole"
A02BD16,"omeprazole, amoxicillin and rifabutin"
A02BD17,vonoprazan and amoxicillin
A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord)
A02BX01,carbenoxolone
A02BX02,sucralfate
A02BX03,pirenzepine
A02BX03,pirenzepine
A02BX04,methiosulfonium chloride
A02BX05,bismuth subcitrate
A02BX06,proglumide
A02BX07,gefarnate
A02BX08,sulglicotide
A02BX09,acetoxolone
A02BX10,zolimidine
A02BX11,troxipide
A02BX12,bismuth subnitrate
A02BX13,alginic acid
A02BX14,rebamipide
A02BX15,teprenone
A02BX16,irsogladine
A02BX51,"carbenoxolone, combinations excl. psycholeptics"
A02BX71,"carbenoxolone, combinations with psycholeptics"
A02BX77,"gefarnate, combinations with psycholeptics"
A02X,other drugs for acid related disorders
A03,drugs for functional gastrointestinal disorders
A03A,drugs for functional gastrointestinal disorders
A03AA,"synthetic anticholinergics, esters with tertiary amino group"
A03AA01,oxyphencyclimine
A03AA03,camylofin
A03AA03,camylofin
A03AA04,mebeverine
A03AA05,trimebutine
A03AA06,rociverine
A03AA07,dicycloverine
A03AA07,dicycloverine
A03AA08,dihexyverine
A03AA09,difemerine
A03AA30,piperidolate
A03AB,"synthetic anticholinergics, quaternary ammonium compounds"
A03AB01,benzilone
A03AB02,glycopyrronium bromide
A03AB02,glycopyrronium bromide
A03AB02,glycopyrronium bromide
A03AB03,oxyphenonium
A03AB04,penthienate
A03AB05,propantheline
A03AB05,propantheline
A03AB06,otilonium bromide
A03AB07,methantheline
A03AB08,tridihexethyl
A03AB09,isopropamide
A03AB10,hexocyclium
A03AB11,poldine
A03AB12,mepenzolate
A03AB13,bevonium
A03AB14,pipenzolate
A03AB15,diphemanil
A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide
A03AB17,tiemonium iodide
A03AB18,prifinium bromide
A03AB19,timepidium bromide
A03AB21,fenpiverinium
A03AB53,"oxyphenonium, combinations"
A03AC,"synthetic antispasmodics, amides with tertiary amines"
A03AC02,dimethylaminopropionylphenothiazine
A03AC04,nicofetamide
A03AC05,tiropramide
A03AD,papaverine and derivatives
A03AD01,papaverine
A03AD01,papaverine
A03AD02,drotaverine
A03AD02,drotaverine
A03AD30,moxaverine
A03AE,serotonin receptor antagonists
A03AE01,alosetron
A03AE03,cilansetron
A03AX,other drugs for functional gastrointestinal disorders
A03AX01,fenpiprane
A03AX02,diisopromine
A03AX03,chlorbenzoxamine
A03AX04,pinaverium
A03AX05,fenoverine
A03AX06,idanpramine
A03AX07,proxazole
A03AX08,alverine
A03AX09,trepibutone
A03AX10,isometheptene
A03AX11,caroverine
A03AX12,phloroglucinol
A03AX13,silicones
A03AX14,valethamate
A03AX15,menthae piperitae aetheroleum
A03AX30,trimethyldiphenylpropylamine
A03AX30,trimethyldiphenylpropylamine
A03AX58,"alverine, combinations"
A03B,"belladonna and derivatives, plain"
A03BA,"belladonna alkaloids, tertiary amines"
A03BA01,atropine
A03BA01,atropine
A03BA03,hyoscyamine
A03BA04,belladonna total alkaloids
A03BB,"belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
A03BB01,butylscopolamine
A03BB01,butylscopolamine
A03BB01,butylscopolamine
A03BB02,methylatropine
A03BB03,methylscopolamine
A03BB03,methylscopolamine
A03BB04,fentonium
A03BB05,cimetropium bromide
A03BB06,homatropine methylbromide
A03C,antispasmodics in combination with psycholeptics
A03CA,synthetic anticholinergic agents in combination with psycholeptics
A03CA01,isopropamide and psycholeptics
A03CA02,clidinium and psycholeptics
A03CA03,oxyphencyclimine and psycholeptics
A03CA04,otilonium bromide and psycholeptics
A03CA05,glycopyrronium bromide and psycholeptics
A03CA06,bevonium and psycholeptics
A03CA07,ambutonium and psycholeptics
A03CA08,diphemanil and psycholeptics
A03CA09,pipenzolate and psycholeptics
A03CA30,emepronium and psycholeptics
A03CA34,propantheline and psycholeptics
A03CB,belladonna and derivatives in combination with psycholeptics
A03CB01,methylscopolamine and psycholeptics
A03CB02,belladonna total alkaloids and psycholeptics
A03CB03,atropine and psycholeptics
A03CB04,homatropine methylbromide and psycholeptics
A03CB31,hyoscyamine and psycholeptics
A03CC,other antispasmodics in combination with psycholeptics
A03D,antispasmodics in combination with analgesics
A03DA,synthetic anticholinergic agents in combination with analgesics
A03DA01,tropenzilone and analgesics
A03DA02,pitofenone and analgesics
A03DA03,bevonium and analgesics
A03DA04,ciclonium and analgesics
A03DA05,camylofin and analgesics
A03DA06,trospium and analgesics
A03DA07,tiemonium iodide and analgesics
A03DB,belladonna and derivatives in combination with analgesics
A03DB04,butylscopolamine and analgesics
A03DC,other antispasmodics in combination with analgesics
A03E,antispasmodics and anticholinergics in combination with other drugs
A03EA,"antispasmodics, psycholeptics and analgesics in combination"
A03ED,antispasmodics in combination with other drugs
A03F,propulsives
A03FA,propulsives
A03FA01,metoclopramide
A03FA01,metoclopramide
A03FA01,metoclopramide
A03FA02,cisapride
A03FA02,cisapride
A03FA03,domperidone
A03FA03,domperidone
A03FA03,domperidone
A03FA04,bromopride
A03FA04,bromopride
A03FA05,alizapride
A03FA05,alizapride
A03FA06,clebopride
A03FA07,itopride
A03FA08,cinitapride
A03FA09,mosapride
A03FA10,acotiamide
A04,antiemetics and antinauseants
A04A,antiemetics and antinauseants
A04AA,serotonin (5ht3) antagonists
A04AA01,ondansetron
A04AA01,ondansetron
A04AA01,ondansetron
A04AA02,granisetron
A04AA02,granisetron
A04AA02,granisetron
A04AA03,tropisetron
A04AA03,tropisetron
A04AA04,dolasetron
A04AA04,dolasetron
A04AA05,palonosetron
A04AA05,palonosetron
A04AA55,"palonosetron, combinations"
A04AD,other antiemetics
A04AD01,scopolamine
A04AD02,cerium oxalate
A04AD04,chlorobutanol
A04AD05,metopimazine
A04AD05,metopimazine
A04AD10,dronabinol
A04AD11,nabilone
A04AD12,aprepitant
A04AD12,aprepitant
A04AD13,casopitant
A04AD14,rolapitant
A04AD51,"scopolamine, combinations"
A04AD54,"chlorobutanol, combinations"
A05,bile and liver therapy
A05A,bile therapy
A05AA,bile acids and derivatives
A05AA01,chenodeoxycholic acid
A05AA02,ursodeoxycholic acid
A05AA03,cholic acid
A05AA04,obeticholic acid
A05AA05,ursodoxicoltaurine
A05AB,preparations for biliary tract therapy
A05AB01,nicotinyl methylamide
A05AX,other drugs for bile therapy
A05AX01,piprozolin
A05AX02,hymecromone
A05AX03,cyclobutyrol
A05AX04,maralixibat chloride
A05AX05,odevixibat
A05AX06,elafibranor
A05B,"liver therapy, lipotropics"
A05BA,liver therapy
A05BA01,arginine glutamate
A05BA03,silymarin
A05BA04,citiolone
A05BA05,epomediol
A05BA06,ornithine oxoglurate
A05BA07,tidiacic arginine
A05BA08,glycyrrhizic acid
A05BA09,metadoxine
A05BA10,phospholipids
A05C,drugs for bile therapy and lipotropics in combination
A06,drugs for constipation
A06A,drugs for constipation
A06AA,"softeners, emollients"
A06AA01,liquid paraffin
A06AA02,docusate sodium
A06AA51,"liquid paraffin, combinations"
A06AB,contact laxatives
A06AB01,oxyphenisatine
A06AB02,bisacodyl
A06AB02,bisacodyl
A06AB03,dantron
A06AB04,phenolphthalein
A06AB05,castor oil
A06AB06,senna glycosides
A06AB07,cascara
A06AB08,sodium picosulfate
A06AB09,bisoxatin
A06AB20,contact laxatives in combination
A06AB30,contact laxatives in combination with belladonna alkaloids
A06AB52,"bisacodyl, combinations"
A06AB53,"dantron, combinations"
A06AB56,"senna glycosides, combinations"
A06AB57,"cascara, combinations"
A06AB58,"sodium picosulfate, combinations"
A06AC,bulk-forming laxatives
A06AC01,ispaghula (psylla seeds)
A06AC02,ethulose
A06AC03,sterculia
A06AC05,linseed
A06AC06,methylcellulose
A06AC07,triticum (wheat fibre)
A06AC08,polycarbophil calcium
A06AC51,"ispaghula, combinations"
A06AC53,"sterculia, combinations"
A06AC55,"linseed, combinations"
A06AD,osmotically acting laxatives
A06AD01,magnesium carbonate
A06AD02,magnesium oxide
A06AD03,magnesium peroxide
A06AD04,magnesium sulfate
A06AD10,mineral salts in combination
A06AD11,lactulose
A06AD12,lactitol
A06AD13,sodium sulfate
A06AD14,pentaerithrityl
A06AD15,macrogol
A06AD16,mannitol
A06AD17,sodium phosphate
A06AD18,sorbitol
A06AD19,magnesium citrate
A06AD21,sodium tartrate
A06AD61,"lactulose, combinations"
A06AD65,"macrogol, combinations"
A06AG,enemas
A06AG01,sodium phosphate
A06AG02,bisacodyl
A06AG03,"dantron, incl. combinations"
A06AG04,glycerol
A06AG06,oil
A06AG07,sorbitol
A06AG10,"docusate sodium, incl. combinations"
A06AG11,"sodium lauryl sulfoacetate, incl. combinations"
A06AG20,combinations
A06AH,peripheral opioid receptor antagonists
A06AH01,methylnaltrexone bromide
A06AH02,alvimopan
A06AH03,naloxegol
A06AH04,naloxone
A06AH05,naldemedine
A06AX,other drugs for constipation
A06AX01,glycerol
A06AX02,carbon dioxide producing drugs
A06AX03,lubiprostone
A06AX04,linaclotide
A06AX05,prucalopride
A06AX06,tegaserod
A06AX07,plecanatide
A06AX08,tenapanor
A06AX09,elobixibat
A07,"antidiarrheals, intestinal antiinflammatory/antiinfective agents"
A07A,intestinal antiinfectives
A07AA,antibiotics
A07AA01,neomycin
A07AA02,nystatin
A07AA03,natamycin
A07AA04,streptomycin
A07AA05,polymyxin b
A07AA06,paromomycin
A07AA07,amphotericin b
A07AA08,kanamycin
A07AA09,vancomycin
A07AA10,colistin
A07AA11,rifaximin
A07AA12,fidaxomicin
A07AA13,rifamycin
A07AA51,"neomycin, combinations"
A07AA54,"streptomycin, combinations"
A07AB,sulfonamides
A07AB02,phthalylsulfathiazole
A07AB03,sulfaguanidine
A07AB04,succinylsulfathiazole
A07AC,imidazole derivatives
A07AC01,miconazole
A07AX,other intestinal antiinfectives
A07AX01,broxyquinoline
A07AX02,acetarsol
A07AX03,nifuroxazide
A07AX04,nifurzide
A07B,intestinal adsorbents
A07BA,charcoal preparations
A07BA01,medicinal charcoal
A07BA51,"medicinal charcoal, combinations"
A07BB,bismuth preparations
A07BC,other intestinal adsorbents
A07BC01,pectin
A07BC02,kaolin
A07BC03,crospovidone
A07BC04,attapulgite
A07BC05,diosmectite
A07BC30,combinations
A07BC54,"attapulgite, combinations"
A07C,electrolytes with carbohydrates
A07CA,oral rehydration salt formulations
A07D,antipropulsives
A07DA,antipropulsives
A07DA01,diphenoxylate
A07DA02,opium
A07DA03,loperamide
A07DA04,difenoxin
A07DA05,loperamide oxide
A07DA06,eluxadoline
A07DA52,"morphine, combinations"
A07DA53,"loperamide, combinations"
A07E,intestinal antiinflammatory agents
A07EA,corticosteroids acting locally
A07EA01,prednisolone
A07EA02,hydrocortisone
A07EA03,prednisone
A07EA04,betamethasone
A07EA05,tixocortol
A07EA06,budesonide
A07EA06,budesonide
A07EA07,beclometasone
A07EB,"antiallergic agents, excl. corticosteroids"
A07EB01,cromoglicic acid
A07EC,aminosalicylic acid and similar agents
A07EC01,sulfasalazine
A07EC01,sulfasalazine
A07EC02,mesalazine
A07EC02,mesalazine
A07EC03,olsalazine
A07EC04,balsalazide
A07F,antidiarrheal microorganisms
A07FA,antidiarrheal microorganisms
A07FA01,lactic acid producing organisms
A07FA02,saccharomyces boulardii
A07FA03,escherichia coli
A07FA51,"lactic acid producing organisms, combinations"
A07X,other antidiarrheals
A07XA,other antidiarrheals
A07XA01,albumin tannate
A07XA02,ceratonia
A07XA03,calcium compounds
A07XA04,racecadotril
A07XA06,crofelemer
A07XA51,"albumin tannate, combinations"
A08,"antiobesity preparations, excl. diet products"
A08A,"antiobesity preparations, excl. diet products"
A08AA,centrally acting antiobesity products
A08AA01,phentermine
A08AA02,fenfluramine
A08AA03,amfepramone
A08AA04,dexfenfluramine
A08AA05,mazindol
A08AA06,etilamfetamine
A08AA07,cathine
A08AA08,clobenzorex
A08AA09,mefenorex
A08AA10,sibutramine
A08AA11,lorcaserin
A08AA12,setmelanotide
A08AA51,phentermine and topiramate
A08AA56,"ephedrine, combinations"
A08AA62,bupropion and naltrexone
A08AB,peripherally acting antiobesity products
A08AB01,orlistat
A08AX,other antiobesity drugs
A08AX01,rimonabant
A09,"digestives, incl. enzymes"
A09A,"digestives, incl. enzymes"
A09AA,enzyme preparations
A09AA01,diastase
A09AA02,"multienzymes (lipase, protease etc.)"
A09AA03,pepsin
A09AA04,tilactase
A09AB,acid preparations
A09AB01,glutamic acid hydrochloride
A09AB02,betaine hydrochloride
A09AB03,hydrochloric acid
A09AB04,citric acid
A09AC,"enzyme and acid preparations, combinations"
A09AC01,pepsin and acid preparations
A09AC02,multienzymes and acid preparations
A10,drugs used in diabetes
A10A,insulins and analogues
A10AB,"insulins and analogues for injection, fast-acting"
A10AB01,insulin (human)
A10AB02,insulin (beef)
A10AB03,insulin (pork)
A10AB04,insulin lispro
A10AB05,insulin aspart
A10AB06,insulin glulisine
A10AB30,combinations
A10AC,"insulins and analogues for injection, intermediate-acting"
A10AC01,insulin (human)
A10AC02,insulin (beef)
A10AC03,insulin (pork)
A10AC04,insulin lispro
A10AC30,combinations
A10AD,"insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
A10AD01,insulin (human)
A10AD02,insulin (beef)
A10AD03,insulin (pork)
A10AD04,insulin lispro
A10AD05,insulin aspart
A10AD06,insulin degludec and insulin aspart
A10AD30,combinations
A10AE,"insulins and analogues for injection, long-acting"
A10AE01,insulin (human)
A10AE02,insulin (beef)
A10AE03,insulin (pork)
A10AE04,insulin glargine
A10AE05,insulin detemir
A10AE06,insulin degludec
A10AE07,insulin icodec
A10AE30,combinations
A10AE54,insulin glargine and lixisenatide
A10AE56,insulin degludec and liraglutide
A10AF,insulins and analogues for inhalation
A10AF01,insulin (human)
A10B,"blood glucose lowering drugs, excl. insulins"
A10BA,biguanides
A10BA01,phenformin
A10BA02,metformin
A10BA03,buformin
A10BB,sulfonylureas
A10BB01,glibenclamide
A10BB01,glibenclamide
A10BB02,chlorpropamide
A10BB03,tolbutamide
A10BB04,glibornuride
A10BB05,tolazamide
A10BB06,carbutamide
A10BB07,glipizide
A10BB08,gliquidone
A10BB09,gliclazide
A10BB10,metahexamide
A10BB11,glisoxepide
A10BB12,glimepiride
A10BB31,acetohexamide
A10BC,sulfonamides (heterocyclic)
A10BC01,glymidine
A10BD,combinations of oral blood glucose lowering drugs
A10BD01,phenformin and sulfonylureas
A10BD02,metformin and sulfonylureas
A10BD03,metformin and rosiglitazone
A10BD04,glimepiride and rosiglitazone
A10BD05,metformin and pioglitazone
A10BD06,glimepiride and pioglitazone
A10BD07,metformin and sitagliptin
A10BD08,metformin and vildagliptin
A10BD09,pioglitazone and alogliptin
A10BD10,metformin and saxagliptin
A10BD11,metformin and linagliptin
A10BD12,pioglitazone and sitagliptin
A10BD13,metformin and alogliptin
A10BD14,metformin and repaglinide
A10BD15,metformin and dapagliflozin
A10BD16,metformin and canagliflozin
A10BD17,metformin and acarbose
A10BD18,metformin and gemigliptin
A10BD19,linagliptin and empagliflozin
A10BD20,metformin and empagliflozin
A10BD21,saxagliptin and dapagliflozin
A10BD22,metformin and evogliptin
A10BD23,metformin and ertugliflozin
A10BD24,sitagliptin and ertugliflozin
A10BD25,"metformin, saxagliptin and dapagliflozin"
A10BD26,metformin and lobeglitazone
A10BD27,"metformin, linagliptin and empagliflozin"
A10BD28,metformin and teneligliptin
A10BD29,sitagliptin and dapagliflozin
A10BF,alpha glucosidase inhibitors
A10BF01,acarbose
A10BF02,miglitol
A10BF03,voglibose
A10BG,thiazolidinediones
A10BG01,troglitazone
A10BG02,rosiglitazone
A10BG03,pioglitazone
A10BG04,lobeglitazone
A10BH,dipeptidyl peptidase 4 (dpp-4) inhibitors
A10BH01,sitagliptin
A10BH02,vildagliptin
A10BH03,saxagliptin
A10BH04,alogliptin
A10BH05,linagliptin
A10BH06,gemigliptin
A10BH07,evogliptin
A10BH08,teneligliptin
A10BH51,sitagliptin and simvastatin
A10BH52,gemigliptin and rosuvastatin
A10BJ,glucagon-like peptide-1 (glp-1) analogues
A10BJ01,exenatide
A10BJ01,exenatide
A10BJ02,liraglutide
A10BJ03,lixisenatide
A10BJ04,albiglutide
A10BJ05,dulaglutide
A10BJ06,semaglutide
A10BJ06,semaglutide
A10BJ07,beinaglutide
A10BK,sodium-glucose co-transporter 2 (sglt2) inhibitors
A10BK01,dapagliflozin
A10BK02,canagliflozin
A10BK03,empagliflozin
A10BK04,ertugliflozin
A10BK05,ipragliflozin
A10BK06,sotagliflozin
A10BK07,luseogliflozin
A10BK08,bexagliflozin
A10BX,"other blood glucose lowering drugs, excl. insulins"
A10BX01,guar gum
A10BX02,repaglinide
A10BX03,nateglinide
A10BX05,pramlintide
A10BX06,benfluorex
A10BX08,mitiglinide
A10BX15,imeglimin
A10BX16,tirzepatide
A10BX17,carfloglitazar
A10BX18,dorzagliatin
A10X,other drugs used in diabetes
A10XA,aldose reductase inhibitors
A10XA01,tolrestat
A10XX,other drugs used in diabetes
A10XX01,teplizumab
A11,vitamins
A11A,"multivitamins, combinations"
A11AA,multivitamins with minerals
A11AA01,multivitamins and iron
A11AA02,multivitamins and calcium
A11AA03,"multivitamins and other minerals, incl. combinations"
A11AA04,multivitamins and trace elements
A11AB,"multivitamins, other combinations"
A11B,"multivitamins, plain"
A11BA,"multivitamins, plain"
A11C,"vitamin a and d, incl. combinations of the two"
A11CA,"vitamin a, plain"
A11CA01,retinol (vit a)
