atc_level_01,anatomical_main_group_01,atc_level_03,therapeutic_subgroup_02,atc_level_04,pharmacological_subgroup_03,atc_level_05,chemical_subgroup_04,atc_code,chemical_substance
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB23,minocycline
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB24,octenidine
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB25,oxytetracycline
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AB,antiinfectives and antiseptics for local oral treatment,A01AB53,chlorhexidine and cetylpyridinium
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment,A01AC01,triamcinolone
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment,A01AC02,dexamethasone
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment,A01AC03,hydrocortisone
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment,A01AC04,prednisolone
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AC,corticosteroids for local oral treatment,A01AC54,"prednisolone, combinations"
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment,A01AD01,epinephrine
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment,A01AD02,benzydamine
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment,A01AD05,acetylsalicylic acid
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment,A01AD06,adrenalone
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment,A01AD07,amlexanox
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment,A01AD08,becaplermin
A,alimentary tract and metabolism,A01,stomatological preparations,A01A,stomatological preparations,A01AD,other agents for local oral treatment,A01AD11,various
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds,A02AA01,magnesium carbonate
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds,A02AA02,magnesium oxide
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds,A02AA03,magnesium peroxide
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds,A02AA04,magnesium hydroxide
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds,A02AA05,magnesium silicate
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AA,magnesium compounds,A02AA10,combinations
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AB,aluminium compounds,A02AB01,aluminium hydroxide
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AB,aluminium compounds,A02AB02,algeldrate
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AB,aluminium compounds,A02AB03,aluminium phosphate
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AB,aluminium compounds,A02AB04,dihydroxialumini sodium carbonate
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AB,aluminium compounds,A02AB05,aluminium acetoacetate
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AB,aluminium compounds,A02AB06,aloglutamol
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AB,aluminium compounds,A02AB07,aluminium glycinate
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AB,aluminium compounds,A02AB10,combinations
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AC,calcium compounds,A02AC01,calcium carbonate
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AC,calcium compounds,A02AC02,calcium silicate
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AC,calcium compounds,A02AC10,combinations
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AD,"combinations and complexes of aluminium, calcium and magnesium compounds",A02AD01,ordinary salt combinations
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AD,"combinations and complexes of aluminium, calcium and magnesium compounds",A02AD02,magaldrate
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AD,"combinations and complexes of aluminium, calcium and magnesium compounds",A02AD03,almagate
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AD,"combinations and complexes of aluminium, calcium and magnesium compounds",A02AD04,hydrotalcite
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AD,"combinations and complexes of aluminium, calcium and magnesium compounds",A02AD05,almasilate
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AF,antacids with antiflatulents,A02AF01,magaldrate and antiflatulents
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02A,antacids,A02AF,antacids with antiflatulents,A02AF02,ordinary salt combinations and antiflatulents
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BA,h2-receptor antagonists,A02BA01,cimetidine
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BA,h2-receptor antagonists,A02BA02,ranitidine
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BA,h2-receptor antagonists,A02BA03,famotidine
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BA,h2-receptor antagonists,A02BA04,nizatidine
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BA,h2-receptor antagonists,A02BA05,niperotidine
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BA,h2-receptor antagonists,A02BA06,roxatidine
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BA,h2-receptor antagonists,A02BA07,ranitidine bismuth citrate
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BA,h2-receptor antagonists,A02BA08,lafutidine
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BA,h2-receptor antagonists,A02BA51,"cimetidine, combinations"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BA,h2-receptor antagonists,A02BA53,"famotidine, combinations"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BB,prostaglandins,A02BB01,misoprostol
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BB,prostaglandins,A02BB02,enprostil
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BC,proton pump inhibitors,A02BC01,omeprazole
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BC,proton pump inhibitors,A02BC02,pantoprazole
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BC,proton pump inhibitors,A02BC03,lansoprazole
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BC,proton pump inhibitors,A02BC04,rabeprazole
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BC,proton pump inhibitors,A02BC05,esomeprazole
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BC,proton pump inhibitors,A02BC06,dexlansoprazole
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BC,proton pump inhibitors,A02BC07,dexrabeprazole
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BC,proton pump inhibitors,A02BC08,vonoprazan
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BC,proton pump inhibitors,A02BC09,tegoprazan
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BC,proton pump inhibitors,A02BC10,fexuprazan
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BC,proton pump inhibitors,A02BC11,ilaprazole
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BC,proton pump inhibitors,A02BC12,zastaprazan
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BC,proton pump inhibitors,A02BC51,"omeprazole, combinations"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BC,proton pump inhibitors,A02BC53,"lansoprazole, combinations"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BC,proton pump inhibitors,A02BC54,"rabeprazole, combinations"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BD,combinations for eradication of helicobacter pylori,A02BD01,"omeprazole, amoxicillin and metronidazole"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BD,combinations for eradication of helicobacter pylori,A02BD02,"lansoprazole, tetracycline and metronidazole"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BD,combinations for eradication of helicobacter pylori,A02BD03,"lansoprazole, amoxicillin and metronidazole"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BD,combinations for eradication of helicobacter pylori,A02BD04,"pantoprazole, amoxicillin and clarithromycin"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BD,combinations for eradication of helicobacter pylori,A02BD05,"omeprazole, amoxicillin and clarithromycin"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BD,combinations for eradication of helicobacter pylori,A02BD06,"esomeprazole, amoxicillin and clarithromycin"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BD,combinations for eradication of helicobacter pylori,A02BD07,"lansoprazole, amoxicillin and clarithromycin"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BD,combinations for eradication of helicobacter pylori,A02BD08,"bismuth subcitrate, tetracycline and metronidazole"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BD,combinations for eradication of helicobacter pylori,A02BD09,"lansoprazole, clarithromycin and tinidazole"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BD,combinations for eradication of helicobacter pylori,A02BD10,"lansoprazole, amoxicillin and levofloxacin"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BD,combinations for eradication of helicobacter pylori,A02BD11,"pantoprazole, amoxicillin, clarithromycin and metronidazole"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BD,combinations for eradication of helicobacter pylori,A02BD12,"rabeprazole, amoxicillin and clarithromycin"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BD,combinations for eradication of helicobacter pylori,A02BD13,"rabeprazole, amoxicillin and metronidazole"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BD,combinations for eradication of helicobacter pylori,A02BD14,"vonoprazan, amoxicillin and clarithromycin"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BD,combinations for eradication of helicobacter pylori,A02BD15,"vonoprazan, amoxicillin and metronidazole"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BD,combinations for eradication of helicobacter pylori,A02BD16,"omeprazole, amoxicillin and rifabutin"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BD,combinations for eradication of helicobacter pylori,A02BD17,vonoprazan and amoxicillin
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX01,carbenoxolone
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX02,sucralfate
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX03,pirenzepine
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX04,methiosulfonium chloride
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX05,bismuth subcitrate
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX06,proglumide
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX07,gefarnate
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX08,sulglicotide
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX09,acetoxolone
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX10,zolimidine
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX11,troxipide
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX12,bismuth subnitrate
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX13,alginic acid
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX14,rebamipide
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX15,teprenone
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX16,irsogladine
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX51,"carbenoxolone, combinations excl. psycholeptics"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX71,"carbenoxolone, combinations with psycholeptics"
A,alimentary tract and metabolism,A02,drugs for acid related disorders,A02B,drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX,other drugs for peptic ulcer and gastro-oesophageal reflux disease (gord),A02BX77,"gefarnate, combinations with psycholeptics"
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AA,"synthetic anticholinergics, esters with tertiary amino group",A03AA01,oxyphencyclimine
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AA,"synthetic anticholinergics, esters with tertiary amino group",A03AA03,camylofin
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AA,"synthetic anticholinergics, esters with tertiary amino group",A03AA04,mebeverine
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AA,"synthetic anticholinergics, esters with tertiary amino group",A03AA05,trimebutine
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AA,"synthetic anticholinergics, esters with tertiary amino group",A03AA06,rociverine
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AA,"synthetic anticholinergics, esters with tertiary amino group",A03AA07,dicycloverine
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AA,"synthetic anticholinergics, esters with tertiary amino group",A03AA08,dihexyverine
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AA,"synthetic anticholinergics, esters with tertiary amino group",A03AA09,difemerine
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AA,"synthetic anticholinergics, esters with tertiary amino group",A03AA30,piperidolate
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB01,benzilone
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB02,glycopyrronium bromide
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB03,oxyphenonium
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB04,penthienate
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB05,propantheline
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB06,otilonium bromide
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB07,methantheline
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB08,tridihexethyl
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB09,isopropamide
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB10,hexocyclium
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB11,poldine
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB12,mepenzolate
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB13,bevonium
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB14,pipenzolate
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB15,diphemanil
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB16,(2-benzhydryloxyethyl)diethyl-methylammonium iodide
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB17,tiemonium iodide
A,alimentary tract and metabolism,A03,drugs for functional gastrointestinal disorders,A03A,drugs for functional gastrointestinal disorders,A03AB,"synthetic anticholinergics, quaternary ammonium compounds",A03AB18,prifinium bromide
