atc1,atc2,atc3,atc4,atc_code,status,eurd_substance,status2,value
A,A01,A01A,A01AB,A01AB18,none,clotrimazole / hexamidine diisetionate /,NA,1
A,A01,A01A,A01AB,A01AB18,Hungary,clotrimazole,NA,1
A,A01,A01A,A01AB,A01AB18,Portugal,clotrimazole / dexamethasone,NA,1
A,A01,A01A,A01AB,A01AB18,Ireland,clotrimazole / hydrocortisone,NA,1
A,A01,A01A,A01AB,A01AB18,Romania,clotrimazole / metronidazole,NA,1
A,A01,A01A,A01AB,A01AB18,Germany,clotrimazole / zinc oxide,NA,1
A,A01,A01A,A01AB,A01AB18,none,clotrimazole / hexamidine diisetionate,NA,1
A,A01,A01A,A01AB,A01AB21,none,chlortetracycline,NA,1
A,A01,A01A,A01AB,A01AB22,Netherlands,doxycycline,NA,1
A,A01,A01A,A01AB,A01AB23,Spain,minocycline,NA,1
A,A01,A01A,A01AB,A01AB24,Lithuania,octenidine dihydrochloride / phenoxyetha,NA,1
A,A01,A01A,A01AB,A01AB24,Croatia,octenidine dihydrochloride / 1-propanol ,NA,1
A,A01,A01A,A01AB,A01AB24,Croatia,octenidine,NA,1
A,A01,A01A,A01AB,A01AB25,none,"oxytetracycline, hydrocortisone / oxytet",NA,1
A,A01,A01A,A01AC,A01AC01,none,triamcinolone / lidocaine (rectal use),NA,1
A,A01,A01A,A01AC,A01AC01,Portugal,triamcinolone (topical and nasal formula,NA,1
A,A01,A01A,A01AC,A01AC01,Portugal,triamcinolone (tablets and injectables),NA,1
A,A01,A01A,A01AC,A01AC01,Portugal,triamcinolone (intraocular formulations),NA,1
A,A01,A01A,A01AC,A01AC02,Italy,dexamethasone (apart from centrally auth,NA,1
A,A01,A01A,A01AC,A01AC02,none,dexamethasone / framycetin / gramicidin,NA,1
A,A01,A01A,A01AC,A01AC02,none,"dexamethasone / neomycin / polymyxin b, ",NA,1
A,A01,A01A,A01AC,A01AC02,none,dexamethasone / polymyxin b / trimethopr,NA,1
A,A01,A01A,A01AC,A01AC02,Italy,dexamethasone / tobramycin (topical and ,NA,1
A,A01,A01A,A01AC,A01AC02,none,dexamethasone / lidocaine,NA,1
A,A01,A01A,A01AC,A01AC02,none,dexamethasone isonicotinate / tramazolin,NA,1
A,A01,A01A,A01AC,A01AC02,none,dexamethasone / framycetin sulfate / pol,NA,1
A,A01,A01A,A01AC,A01AC02,none,dexamethasone sodium phosphate / gentami,NA,1
A,A01,A01A,A01AC,A01AC02,Spain,dexamethasone (centrally authorised prod,NA,1
A,A01,A01A,A01AC,A01AC02,none,dexamethasone / diphenhydramine hydrochl,NA,1
A,A01,A01A,A01AC,A01AC02,none,dexamethasone / gentamicin / tetryzoline,NA,1
A,A01,A01A,A01AC,A01AC02,none,dexamethasone / heparin sodium,NA,1
A,A01,A01A,A01AC,A01AC02,France,dexamethasone (centrally authorised prod,NA,1
A,A01,A01A,A01AC,A01AC02,Germany,dexamethasone / netilmicin,NA,1
A,A01,A01A,A01AC,A01AC02,Italy,dexamethasone / tobramycin (systemic for,NA,1
A,A01,A01A,A01AC,A01AC03,Finland,hydrocortisone / natamycin / neomycine s,NA,1
A,A01,A01A,A01AC,A01AC03,Spain,hydrocortisone / propanocaine,NA,1
A,A01,A01A,A01AC,A01AC03,none,hydrocortisone / urea,NA,1
A,A01,A01A,A01AC,A01AC03,none,hydrocortisone acetate / lidocaine hydro,NA,1
A,A01,A01A,A01AC,A01AC03,none,hydrocortisone acetate / zinc sulfate,NA,1
A,A01,A01A,A01AC,A01AC03,Sweden,"miconazole, hydrocortisone / miconazole ",NA,1
A,A01,A01A,A01AC,A01AC03,none,hydrocortisone / neomycin,NA,1
A,A01,A01A,A01AC,A01AC03,none,"oxytetracycline, hydrocortisone / oxytet",NA,1
A,A01,A01A,A01AC,A01AC03,Sweden,hydrocortisone (for centrally authorised,NA,1
A,A01,A01A,A01AC,A01AC03,Sweden,hydrocortisone (centrally authorised pro,NA,1
A,A01,A01A,A01AC,A01AC03,none,"pramocaine, hydrocortisone / pramocaine",NA,1
A,A01,A01A,A01AC,A01AC03,Croatia,hydrocortisone (systemic formulations ex,NA,1
A,A01,A01A,A01AC,A01AC03,Croatia,hydrocortisone (all formulations apart f,NA,1
A,A01,A01A,A01AC,A01AC04,Austria,methylprednisolone (systemic use),NA,1
A,A01,A01A,A01AC,A01AC04,Slovenia,prednisolone,NA,1
A,A01,A01A,A01AC,A01AC04,none,prednisolone / salicylic acid,NA,1
A,A01,A01A,A01AC,A01AC04,none,methylprednisolone (topical use),NA,1
A,A01,A01A,A01AD,A01AD01,France,epinephrine (except for nasal use),NA,1
A,A01,A01A,A01AD,A01AD01,Ireland,epinephrine / lidocaine,NA,1
A,A01,A01A,A01AD,A01AD01,Denmark,"epinephrine / mepivacaine hydrochloride,",K,1
A,A01,A01A,A01AD,A01AD01,none,norepinephrine,NA,1
A,A01,A01A,A01AD,A01AD01,Germany,epinephrine / prilocaine hydrochloride,NA,1
A,A01,A01A,A01AD,A01AD01,Finland,epinephrine (for nasal use),NA,1
A,A01,A01A,A01AD,A01AD02,Italy,benzydamine,NA,1
A,A01,A01A,A01AD,A01AD02,Italy,benzydamine / cetylpyridine,NA,1
A,A01,A01A,A01AD,A01AD05,Hungary,acetylsalicylic acid,NA,1
A,A01,A01A,A01AD,A01AD05,none,acetylsalicylic acid / glycine,NA,1
A,A01,A01A,A01AD,A01AD05,none,acetylsalicylic acid / caffeine,NA,1
A,A01,A01A,A01AD,A01AD05,none,acetylsalicylic acid / caffeine / codein,NA,1
A,A01,A01A,A01AD,A01AD05,none,acetylsalicylic acid / caffeine / etenza,NA,1
A,A01,A01A,A01AD,A01AD05,none,acetylsalicylic acid / codeine phosphate,NA,1
A,A01,A01A,A01AD,A01AD05,none,"acetylsalicylic acid / ascorbic acid, ac",NA,1
A,A01,A01A,A01AD,A01AD05,none,acetylsalicylic acid / ascorbic acid / b,NA,1
A,A01,A01A,A01AD,A01AD05,none,acetylsalicylic acid / ascorbic acid / c,NA,1
A,A01,A01A,A01AD,A01AD05,none,acetylsalicylic acid / ascorbic acid / p,NA,1
A,A01,A01A,A01AD,A01AD05,Poland,acetylsalicylic acid / chlorphenamine / ,NA,1
A,A01,A01A,A01AD,A01AD05,Portugal,"acetylsalicylic acid / clopidogrel, clop",NA,1
A,A01,A01A,A01AD,A01AD05,none,acetylsalicylic acid / oxycodone hydroch,NA,1
A,A01,A01A,A01AD,A01AD05,none,acetylsalicylic acid / paracetamol,NA,1
A,A01,A01A,A01AD,A01AD05,none,acetylsalicylic acid / caffeine / parace,NA,1
A,A01,A01A,A01AD,A01AD05,Austria,acetylsalicylic acid / atorvastatin / ra,NA,1
A,A01,A01A,A01AD,A01AD05,Slovakia,acetylsalicylic acid / bisoprolol,NA,1
A,A01,A01A,A01AD,A01AD05,Estonia,"pseudoephedrine, acetylsalicylic acid / ",NA,1
A,A01,A01A,A01AD,A01AD05,Slovenia,acetylsalicylic acid/rosuvastatin,NA,1
A,A01,A01A,A01AD,A01AD07,none,amlexanox,NA,1
A,A02,A02A,A02AA,A02AA04,Germany,magnesium hydroxide,NA,1
A,A02,A02A,A02AB,A02AB01,none,aluminium hydroxide gel / dimeticone / m,NA,1
A,A02,A02A,A02AB,A02AB03,France,aluminium phosphate,NA,1
A,A02,A02A,A02AC,A02AC01,none,calcium carbonate,NA,1
A,A02,A02A,A02AC,A02AC01,none,calcium carbonate / calcium lactate,NA,1
A,A02,A02A,A02AC,A02AC01,France,calcium carbonate / famotidine / magnesi,NA,1
A,A02,A02A,A02AC,A02AC01,none,"calcium carbonate/
magnesium carbonate/
",NA,1
A,A02,A02A,A02AC,A02AC01,Austria,calcium carbonate / sodium alginate / so,NA,1
A,A02,A02A,A02AD,A02AD02,none,magaldrate,NA,1
A,A02,A02A,A02AD,A02AD04,none,hydrotalcite,NA,1
A,A02,A02A,A02AD,A02AD04,none,hydrotalcite / simeticone,NA,1
A,A02,A02B,A02BA,A02BA01,none,cimetidine,NA,1
A,A02,A02B,A02BA,A02BA02,Italy,ranitidine,NA,1
A,A02,A02B,A02BA,A02BA03,Italy,famotidine,NA,1
A,A02,A02B,A02BA,A02BA04,none,nizatidine,NA,1
A,A02,A02B,A02BB,A02BB01,none,misoprostol / naproxen,NA,1
A,A02,A02B,A02BB,A02BB01,Denmark,misoprostol (gastrointestinal indication,M,1
A,A02,A02B,A02BB,A02BB01,Denmark,misoprostol (gynaecological indication -,M,1
A,A02,A02B,A02BB,A02BB01,Denmark,misoprostol (gynaecological indication -,M,1
A,A02,A02B,A02BC,A02BC01,Lithuania,esomeprazole,NA,1
A,A02,A02B,A02BC,A02BC01,Netherlands,esomeprazole / naproxen,NA,1
A,A02,A02B,A02BC,A02BC01,Netherlands,omeprazole,NA,1
A,A02,A02B,A02BC,A02BC02,Lithuania,pantoprazole,NA,1
A,A02,A02B,A02BC,A02BC03,Portugal,"dexlansoprazole, lansoprazole",NA,1
A,A02,A02B,A02BC,A02BC04,Austria,rabeprazole,NA,1
A,A02,A02B,A02BC,A02BC05,Lithuania,esomeprazole,NA,1
A,A02,A02B,A02BC,A02BC05,Netherlands,esomeprazole / naproxen,NA,1
A,A02,A02B,A02BC,A02BC06,Portugal,"dexlansoprazole, lansoprazole",NA,1
A,A02,A02B,A02BX,A02BX02,none,sucralfate,NA,1
A,A02,A02B,A02BX,A02BX05,none,bismuth salts and combinations (except f,NA,1
A,A02,A02B,A02BX,A02BX05,Croatia,bismuth subcitrate potassium / metronida,NA,1
A,A02,A02B,A02BX,A02BX13,Finland,alginic acid / aluminium oxide hydrated ,NA,1
A,A03,A03A,A03AA,A03AA04,none,mebeverine,NA,1
A,A03,A03A,A03AA,A03AA05,none,trimebutine,NA,1
A,A03,A03A,A03AA,A03AA07,none,"dicycloverine, dicyloverine/ paracetamol",NA,1
A,A03,A03A,A03AB,A03AB02,Denmark,glycopyrronium bromide (for centrally au,M,1
A,A03,A03A,A03AB,A03AB02,Austria,glycopyrronium bromide / formoterol,NA,1
A,A03,A03A,A03AB,A03AB06,none,otilonium bromide,NA,1
A,A03,A03A,A03AB,A03AB21,none,fenpiverinium bromide / metamizole sodiu,NA,1
A,A03,A03A,A03AC,A03AC05,none,tiropramide,NA,1
A,A03,A03A,A03AD,A03AD01,none,papaverine,NA,1
A,A03,A03A,A03AD,A03AD01,Netherlands,papaverine / phentolamine,NA,1
A,A03,A03A,A03AD,A03AD02,none,drotaverine,NA,1
A,A03,A03A,A03AX,A03AX04,none,pinaverium,NA,1
A,A03,A03A,A03AX,A03AX08,Croatia,alverine,NA,1
A,A03,A03A,A03AX,A03AX08,France,alverine / simeticone,NA,1
A,A03,A03A,A03AX,A03AX12,France,"phloroglucinol, phloroglucinol / trimeth",NA,1
A,A03,A03B,A03BA,A03BA01,none,atropine,NA,1
A,A03,A03B,A03BA,A03BA01,none,atropine / diphenoxylate,NA,1
A,A03,A03B,A03BA,A03BA01,none,atropine sulfate / hyoscine hydrobromide,NA,1
A,A03,A03B,A03BA,A03BA01,none,atropine sulfate / phenylephrine acetate,NA,1
A,A03,A03B,A03BA,A03BA03,none,hyoscyamine,NA,1
A,A03,A03F,A03FA,A03FA01,Norway,metoclopramide,NA,1
A,A03,A03F,A03FA,A03FA03,Belgium,domperidone,NA,1
A,A03,A03F,A03FA,A03FA05,Belgium,alizapride,NA,1
A,A03,A03F,A03FA,A03FA06,Spain,clebopride,NA,1
A,A03,A03F,A03FA,A03FA06,none,clebopride hydrogen maleate / simeticone,NA,1
A,A03,A03F,A03FA,A03FA06,none,clebopride / dimeticone,NA,1
A,A03,A03F,A03FA,A03FA07,Lithuania,itopride,NA,1
A,A04,A04A,A04AA,A04AA01,Slovenia,ondansetron,NA,1
A,A04,A04A,A04AA,A04AA02,Slovakia,granisetron (all formulations except tra,NA,1
A,A04,A04A,A04AA,A04AA02,Lithuania,granisetron (transdermal patch),NA,1
A,A04,A04A,A04AA,A04AA05,Ireland,palonosetron,NA,1
A,A04,A04A,A04AD,A04AD01,none,scopolamine aminoxide hydrobromide,NA,1
A,A04,A04A,A04AD,A04AD04,none,chlorobutanol hemihydrate / choline sali,NA,1
A,A04,A04A,A04AD,A04AD10,Netherlands,dronabinol/cannabidiol,NA,1
A,A04,A04A,A04AD,A04AD11,Austria,nabilone,NA,1
A,A04,A04A,A04AD,A04AD12,Sweden,aprepitant,NA,1
A,A04,A04A,A04AD,A04AD12,Sweden,fosaprepitant,NA,1
A,A05,A05A,A05AA,A05AA01,Poland,chenodeoxycholic acid (inborn error in p,NA,1
A,A05,A05A,A05AA,A05AA02,Malta,"ursodeoxycholic acid, tauroursodeoxychol",NA,1
A,A05,A05A,A05AA,A05AA03,Romania,dehydrocholic acid,NA,1
A,A05,A05A,A05AA,A05AA03,Greece,cholic acid (oxosteroid-reductase or hyd,NA,1
A,A05,A05A,A05AA,A05AA03,Sweden,deoxycholic acid,NA,1
A,A05,A05A,A05AA,A05AA03,Netherlands,obeticholic acid,NA,1
A,A05,A05A,A05AA,A05AA03,Poland,chenodeoxycholic acid (inborn error in p,NA,1
A,A05,A05A,A05AA,A05AA03,Malta,"ursodeoxycholic acid, tauroursodeoxychol",NA,1
A,A05,A05A,A05AA,A05AA04,Netherlands,obeticholic acid,NA,1
A,A05,A05A,A05AX,A05AX02,none,hymecromone,NA,1
A,A05,A05A,A05AX,A05AX05,Poland,odevixibat,NA,1
A,A05,A05A,A05AX,A05AX06,Lithuania,elafibranor,NA,1
A,A05,A05B,A05BA,A05BA01,none,arginine glutamate,NA,1
A,A05,A05B,A05BA,A05BA03,Romania,"silibinin, dry extract from Milk Thistle",NA,1
A,A05,A05B,A05BA,A05BA09,none,metadoxine,NA,1
A,A05,A05B,A05BA,A05BA10,Croatia,soybean phospholipids (oral use),NA,1
A,A06,A06A,A06AA,A06AA01,none,liquid paraffin / sodium picosulfate,NA,1
A,A06,A06A,A06AB,A06AB02,none,"bisacodyl, bisacodyl / senna dry extract",NA,1
A,A06,A06A,A06AB,A06AB08,none,sodium picosulfate,NA,1
A,A06,A06A,A06AC,A06AC03,Iceland,"sterculia, frangula / sterculia",NA,1
A,A06,A06A,A06AD,A06AD04,Denmark,magnesium sulfate,M,1
A,A06,A06A,A06AD,A06AD04,Czech Republic,magnesium sulfate / sodium sulfate / pot,NA,1
A,A06,A06A,A06AD,A06AD11,Italy,lactulose,NA,1
A,A06,A06A,A06AD,A06AD11,none,lactulose / paraffin liquid / vaseline,NA,1
A,A06,A06A,A06AD,A06AD12,Austria,lactitol,NA,1
A,A06,A06A,A06AD,A06AD14,none,pentaerithrityl tetranitrate,NA,1
A,A06,A06A,A06AD,A06AD15,none,lauromacrogol 400,NA,1
A,A06,A06A,A06AD,A06AD15,none,lauromacrogols combinations,NA,1
A,A06,A06A,A06AD,A06AD15,Italy,macrogol 3350,NA,1
A,A06,A06A,A06AD,A06AD15,France,"macrogol 4000, macrogol 4000 combination",NA,1
A,A06,A06A,A06AD,A06AD16,France,mannitol (indicated in cystic fibrosis),NA,1
A,A06,A06A,A06AD,A06AD16,Croatia,mannitol (all indications apart from cys,NA,1
A,A06,A06A,A06AD,A06AD17,Ireland,betamethasone sodium phosphate / neomyci,NA,1
A,A06,A06A,A06AD,A06AD17,none,dexamethasone sodium phosphate / gentami,NA,1
A,A06,A06A,A06AD,A06AD17,none,disodium phosphate dodecahydrate / sodiu,NA,1
A,A06,A06A,A06AD,A06AD17,none,disodium phosphate anhydrous / sodium hy,NA,1
A,A06,A06A,A06AD,A06AD18,none,sorbitol,NA,1
A,A06,A06A,A06AG,A06AG01,Ireland,betamethasone sodium phosphate / neomyci,NA,1
A,A06,A06A,A06AG,A06AG01,none,dexamethasone sodium phosphate / gentami,NA,1
A,A06,A06A,A06AG,A06AG01,none,disodium phosphate dodecahydrate / sodiu,NA,1
A,A06,A06A,A06AG,A06AG01,none,disodium phosphate anhydrous / sodium hy,NA,1
A,A06,A06A,A06AG,A06AG02,none,"bisacodyl, bisacodyl / senna dry extract",NA,1
A,A06,A06A,A06AG,A06AG04,none,glycerol,NA,1
A,A06,A06A,A06AG,A06AG04,none,glycerol / paraffin liquid / vaselin,NA,1
A,A06,A06A,A06AG,A06AG04,none,glycerol / sucrose,NA,1
A,A06,A06A,A06AG,A06AG04,none,glycerol / lecithin / soybean oil / trig,NA,1
A,A06,A06A,A06AG,A06AG04,Italy,glycerol phenylbutyrate,NA,1
A,A06,A06A,A06AG,A06AG04,none,glycerol / urea,NA,1
A,A06,A06A,A06AG,A06AG06,none,ethyl esters of iodised fatty acids from,NA,1
A,A06,A06A,A06AG,A06AG06,none,shark liver oil / yeast extract,NA,1
A,A06,A06A,A06AG,A06AG06,none,eucalyptus oil,NA,1
A,A06,A06A,A06AG,A06AG06,Croatia,triglyceride combinations (e.g. olive oi,NA,1
A,A06,A06A,A06AG,A06AG06,Netherlands,"coal tar, distilled coal tar, coconut oi",NA,1
A,A06,A06A,A06AG,A06AG06,none,cod-liver oil (oral and parental use),NA,1
A,A06,A06A,A06AG,A06AG06,none,"cod-liver oil (topical use), cod-liver o",NA,1
A,A06,A06A,A06AG,A06AG06,Slovenia,highly refined fish oil / glycerol / pur,NA,1
A,A06,A06A,A06AG,A06AG06,Iceland,lavender oil,NA,1
A,A06,A06A,A06AG,A06AG07,none,sorbitol,NA,1
A,A06,A06A,A06AH,A06AH01,Germany,methylnaltrexone bromide,NA,1
A,A06,A06A,A06AH,A06AH03,Ireland,naloxegol,NA,1
A,A06,A06A,A06AH,A06AH04,Poland,naloxone (for use in medical settings on,NA,1
A,A06,A06A,A06AH,A06AH04,Germany,naloxone / oxycodone,NA,1
A,A06,A06A,A06AH,A06AH04,Netherlands,naloxone (for use in non-medical setting,NA,1
A,A06,A06A,A06AH,A06AH05,Ireland,naldemedine,NA,1
A,A06,A06A,A06AX,A06AX01,none,glycerol,NA,1
A,A06,A06A,A06AX,A06AX01,none,glycerol / paraffin liquid / vaselin,NA,1
A,A06,A06A,A06AX,A06AX01,none,glycerol / sucrose,NA,1
A,A06,A06A,A06AX,A06AX01,none,glycerol / lecithin / soybean oil / trig,NA,1
A,A06,A06A,A06AX,A06AX01,Italy,glycerol phenylbutyrate,NA,1
A,A06,A06A,A06AX,A06AX01,none,glycerol / urea,NA,1
A,A06,A06A,A06AX,A06AX04,Germany,linaclotide,NA,1
A,A06,A06A,A06AX,A06AX05,Sweden,prucalopride,NA,1
A,A07,A07A,A07AA,A07AA01,Czech Republic,neomycin / triamcinolone,NA,1
A,A07,A07A,A07AA,A07AA01,none,neomycin,NA,1
A,A07,A07A,A07AA,A07AA01,none,neomycin sulfate / nystatin / polymyxin ,NA,1
A,A07,A07A,A07AA,A07AA01,Poland,neomycin sulfate / nystatin / triamcinol,NA,1
A,A07,A07A,A07AA,A07AA02,none,nystatin,NA,1
A,A07,A07A,A07AA,A07AA02,none,nystatine / tolnaftate,NA,1
A,A07,A07A,A07AA,A07AA02,none,"tinidazole, nystatin / tinidazole",NA,1
A,A07,A07A,A07AA,A07AA03,none,natamycin,NA,1
A,A07,A07A,A07AA,A07AA04,none,streptomycin,NA,1
A,A07,A07A,A07AA,A07AA06,none,paromomycin,NA,1
A,A07,A07A,A07AA,A07AA08,none,kanamycin,NA,1
A,A07,A07A,A07AA,A07AA09,Denmark,vancomycin,M,1
A,A07,A07A,A07AA,A07AA10,none,colistin sulphate,NA,1
A,A07,A07A,A07AA,A07AA11,Hungary,rifaximin,NA,1
A,A07,A07A,A07AA,A07AA12,Sweden,fidaxomicin,NA,1
A,A07,A07A,A07AA,A07AA13,Denmark,rifamycin,M,1
A,A07,A07A,A07AB,A07AB03,none,sulfaguanidine,NA,1
A,A07,A07A,A07AC,A07AC01,Sweden,"miconazole, hydrocortisone / miconazole ",NA,1
A,A07,A07A,A07AX,A07AX03,Czech Republic,nifuroxazide,NA,1
A,A07,A07B,A07BC,A07BC01,none,spectinomycin,NA,1
A,A07,A07B,A07BC,A07BC04,none,"activated attapulgite mormoiron, 
activa",NA,1
A,A07,A07B,A07BC,A07BC05,none,diosmectite,NA,1
A,A07,A07D,A07DA,A07DA02,Hungary,ipratropium,NA,1
A,A07,A07D,A07DA,A07DA02,Croatia,ipratropium / salbutamol,NA,1
A,A07,A07D,A07DA,A07DA02,Netherlands,tiotropium,NA,1
A,A07,A07D,A07DA,A07DA02,Croatia,ipratropium / xylometazoline,NA,1
A,A07,A07D,A07DA,A07DA02,Denmark,opium,K,1
A,A07,A07D,A07DA,A07DA03,Poland,"loperamide, loperamide / simeticone",NA,1
A,A07,A07E,A07EA,A07EA01,Austria,methylprednisolone (systemic use),NA,1
A,A07,A07E,A07EA,A07EA01,Slovenia,prednisolone,NA,1
A,A07,A07E,A07EA,A07EA01,none,prednisolone / salicylic acid,NA,1
A,A07,A07E,A07EA,A07EA01,none,methylprednisolone (topical use),NA,1
A,A07,A07E,A07EA,A07EA02,Finland,hydrocortisone / natamycin / neomycine s,NA,1
A,A07,A07E,A07EA,A07EA02,Spain,hydrocortisone / propanocaine,NA,1
A,A07,A07E,A07EA,A07EA02,none,hydrocortisone / urea,NA,1
A,A07,A07E,A07EA,A07EA02,none,hydrocortisone acetate / lidocaine hydro,NA,1
A,A07,A07E,A07EA,A07EA02,none,hydrocortisone acetate / zinc sulfate,NA,1
A,A07,A07E,A07EA,A07EA02,Sweden,"miconazole, hydrocortisone / miconazole ",NA,1
A,A07,A07E,A07EA,A07EA02,none,hydrocortisone / neomycin,NA,1
A,A07,A07E,A07EA,A07EA02,none,"oxytetracycline, hydrocortisone / oxytet",NA,1
A,A07,A07E,A07EA,A07EA02,Sweden,hydrocortisone (for centrally authorised,NA,1
A,A07,A07E,A07EA,A07EA02,Sweden,hydrocortisone (centrally authorised pro,NA,1
A,A07,A07E,A07EA,A07EA02,none,"pramocaine, hydrocortisone / pramocaine",NA,1
A,A07,A07E,A07EA,A07EA02,Croatia,hydrocortisone (systemic formulations ex,NA,1
A,A07,A07E,A07EA,A07EA02,Croatia,hydrocortisone (all formulations apart f,NA,1
A,A07,A07E,A07EA,A07EA03,Denmark,prednisone,K,1
A,A07,A07E,A07EA,A07EA04,Ireland,betamethasone,NA,1
A,A07,A07E,A07EA,A07EA04,Ireland,betamethasone dipropionate / calcipotrio,NA,1
A,A07,A07E,A07EA,A07EA04,Portugal,betamethasone dipropionate / clotrimazol,NA,1
A,A07,A07E,A07EA,A07EA04,Ireland,betamethasone dipropionate / salicylic a,NA,1
A,A07,A07E,A07EA,A07EA04,Ireland,betamethasone sodium phosphate / neomyci,NA,1
A,A07,A07E,A07EA,A07EA04,Ireland,betamethasone valerate / clioquinol,NA,1
A,A07,A07E,A07EA,A07EA04,Ireland,betamethasone valerate / fusidic acid,NA,1
A,A07,A07E,A07EA,A07EA04,none,betamethasone / gentamicin,NA,1
A,A07,A07E,A07EA,A07EA04,none,betamethasone / chloramphenicol,NA,1
A,A07,A07E,A07EA,A07EA04,Croatia,betamethasone / tetryzoline,NA,1
A,A07,A07E,A07EA,A07EA04,Croatia,betamethasone dipropionate / clotrimazol,NA,1
A,A07,A07E,A07EA,A07EA05,France,"tixocortol, chlorhexidine gluconate / ti",NA,1
A,A07,A07E,A07EA,A07EA06,Denmark,budesonide (nationally authorised produc,M,1
A,A07,A07E,A07EA,A07EA06,Netherlands,budesonide / salmeterol,NA,1
A,A07,A07E,A07EA,A07EA06,Denmark,budesonide / formoterol,M,1
A,A07,A07E,A07EA,A07EA06,Latvia,budesonide (for centrally authorised pro,NA,1
A,A07,A07E,A07EA,A07EA06,Denmark,budesonide (for centrally authorised pro,M,1
A,A07,A07E,A07EA,A07EA07,Poland,beclometasone,NA,1
A,A07,A07E,A07EA,A07EA07,none,beclometasone dipropionate / neomycin su,NA,1
A,A07,A07E,A07EA,A07EA07,Portugal,beclometasone / salbutamol,NA,1
A,A07,A07E,A07EA,A07EA07,Germany,beclometasone / formoterol (inhalative a,NA,1
A,A07,A07E,A07EA,A07EA07,Austria,beclometasone / formoterol / glycopyrron,NA,1
A,A07,A07E,A07EB,A07EB01,Ireland,cromoglicic acid,NA,1
A,A07,A07E,A07EC,A07EC01,Denmark,sulfasalazine,M,1
A,A07,A07E,A07EC,A07EC02,Denmark,mesalazine,M,1
A,A07,A07E,A07EC,A07EC03,Finland,olsalazine,NA,1
A,A07,A07E,A07EC,A07EC04,Italy,balsalazide,NA,1
A,A07,A07F,A07FA,A07FA02,Czech Republic,saccharomyces boulardii,NA,1
A,A07,A07F,A07FA,A07FA03,Germany,escherichia coli lysate,NA,1
A,A07,A07F,A07FA,A07FA03,none,escherichia coli (living cells),NA,1
A,A07,A07X,A07XA,A07XA01,none,albumin tannate / ethacridine lactate mo,NA,1
A,A07,A07X,A07XA,A07XA04,Spain,racecadotril,NA,1
A,A08,A08A,A08AA,A08AA01,Sweden,phentermine/ topiramate,NA,1
A,A08,A08A,A08AA,A08AA02,Germany,fenfluramine,NA,1
A,A08,A08A,A08AA,A08AA03,Denmark,amfepramone,M,1
A,A08,A08A,A08AA,A08AA12,Slovakia,setmelanotide,NA,1
A,A08,A08A,A08AB,A08AB01,France,orlistat,NA,1
